window_index,horizon_start_hour,horizon_end_hour,executed_until_hour,initial_soc,soc_after_execution,planned_terminal_soc,objective,runtime_seconds,mip_gap,status
8999,215976,216143,215999,2153.732,2400.0,2153.732,12617.604118815316,0.006760120391845703,0.0,2
9000,216000,216167,216023,2400.0,2400.0,2400.0,11459.536219583037,0.004667997360229492,0.0,2
9001,216024,216191,216047,2400.0,1786.0127272727273,2400.0,10535.871696585647,0.004799842834472656,0.0,2
9002,216048,216215,216071,1786.0127272727273,2244.517,1786.0127272727273,8512.261260813353,0.006963968276977539,0.0,2
9003,216072,216239,216095,2244.517,2334.15,2244.517,6328.010810871523,0.006325960159301758,0.0,2
9004,216096,216263,216119,2334.15,2355.3648181818185,2334.15,5395.195034563162,0.006092071533203125,0.0,2
9005,216120,216287,216143,2355.3648181818185,1816.026272727273,2355.3648181818185,6100.34961435842,0.006092071533203125,0.0,2
9006,216144,216311,216167,1816.026272727273,945.3691818181823,1816.026272727273,9066.978538300358,0.006387948989868164,0.0,2
9007,216168,216335,216191,945.3691818181823,775.7358181818186,945.3691818181823,11014.985281081295,0.006916046142578125,0.0,2
9008,216192,216359,216215,775.7358181818186,246.41709090909137,775.7358181818186,12443.446948817187,0.004050016403198242,0.0,2
9009,216216,216383,216239,246.41709090909137,246.41709090909137,246.41709090909137,12143.44495227861,0.006962776184082031,0.0,2
9010,216240,216407,216263,246.41709090909137,517.0440909090914,246.41709090909137,11704.737407991874,0.007175922393798828,0.0,2
9011,216264,216431,216287,517.0440909090914,1608.2830909090915,517.0440909090914,11262.693668515481,0.007174968719482422,0.0,2
9012,216288,216455,216311,1608.2830909090915,379.12445454545446,1608.2830909090915,11126.096159302931,0.00699305534362793,0.0,2
9013,216312,216479,216335,379.12445454545446,0.0,379.12445454545446,8913.941398889192,0.004124879837036133,0.0,2
9014,216336,216503,216359,0.0,0.0,0.0,7732.3486192483915,0.003980159759521484,0.0,2
9015,216360,216527,216383,0.0,211.50900000000001,0.0,7712.991857016929,0.00468897819519043,0.0,2
9016,216384,216551,216407,211.50900000000001,340.079,211.50900000000001,8195.886599811167,0.004194974899291992,0.0,2
9017,216408,216575,216431,340.079,1041.3100000000002,340.079,8757.779901642474,0.004165172576904297,0.0,2
