window_index,horizon_start_hour,horizon_end_hour,executed_until_hour,initial_soc,soc_after_execution,planned_terminal_soc,objective,runtime_seconds,mip_gap,status
14717,353208,353375,353231,1353.8822727272725,1241.0900909090908,1353.8822727272725,24570.28991925093,0.0050699710845947266,0.0,2
14718,353232,353399,353255,1241.0900909090908,1890.7864545454545,1241.0900909090908,27068.9538673588,0.005258798599243164,0.0,2
14719,353256,353423,353279,1890.7864545454545,2043.2110000000002,1890.7864545454545,26356.484326862308,0.0076580047607421875,0.0,2
14720,353280,353447,353303,2043.2110000000002,2155.7963636363634,2043.2110000000002,26354.08033034435,0.007668018341064453,0.0,2
14721,353304,353471,353327,2155.7963636363634,1207.272727272727,2155.7963636363634,32371.757735055533,0.007911920547485352,0.0,2
14722,353328,353495,353351,1207.272727272727,1375.045,1207.272727272727,30406.06585169638,0.00548100471496582,0.0,2
14723,353352,353519,353375,1375.045,2365.9363636363637,1375.045,30049.94046162138,0.005747079849243164,0.0,2
14724,353376,353543,353399,2365.9363636363637,1854.5454545454545,2365.9363636363637,27717.92478912476,0.008022069931030273,0.0,2
14725,353400,353567,353423,1854.5454545454545,1433.1382727272726,1854.5454545454545,26789.078325863837,0.007791042327880859,0.0,2
14726,353424,353591,353447,1433.1382727272726,925.4545454545453,1433.1382727272726,25193.501652640938,0.00786900520324707,0.0,2
14727,353448,353615,353471,925.4545454545453,607.9327272727272,925.4545454545453,24719.10742411909,0.005786895751953125,0.0,2
14728,353472,353639,353495,607.9327272727272,680.0,607.9327272727272,18710.365874279378,0.005402803421020508,0.0,2
14729,353496,353663,353519,680.0,1669.292,680.0,17900.597809094008,0.005263090133666992,0.0,2
14730,353520,353687,353543,1669.292,1633.1434545454545,1669.292,17670.87853303428,0.007767915725708008,0.0,2
14731,353544,353711,353567,1633.1434545454545,1487.6889090909092,1633.1434545454545,17624.704830710743,0.007773160934448242,0.0,2
14732,353568,353735,353591,1487.6889090909092,1642.307545454546,1487.6889090909092,17912.142933468953,0.0073239803314208984,0.0,2
14733,353592,353759,353615,1642.307545454546,2059.789545454546,1642.307545454546,19858.75295437184,0.007119178771972656,0.0,2
14734,353616,353783,353639,2059.789545454546,2400.0,2059.789545454546,22212.894313805948,0.007901906967163086,0.0,2
14735,353640,353807,353663,2400.0,1849.8912727272727,2400.0,21372.698727842868,0.00478816032409668,0.0,2
14736,353664,353831,353687,1849.8912727272727,1787.3821818181816,1849.8912727272727,19024.80708273975,0.0073070526123046875,0.0,2
14737,353688,353855,353711,1787.3821818181816,2300.0,1787.3821818181816,17567.670860666796,0.006695985794067383,0.0,2
14738,353712,353879,353735,2300.0,1722.6363636363635,2300.0,17307.48568957324,0.006957054138183594,0.0,2
14739,353736,353903,353759,1722.6363636363635,1734.6085454545448,1722.6363636363635,18216.090833971404,0.007504940032958984,0.0,2
14740,353760,353927,353783,1734.6085454545448,1606.1830909090904,1734.6085454545448,17215.01176926807,0.007299184799194336,0.0,2
14741,353784,353951,353807,1606.1830909090904,1474.1094545454544,1606.1830909090904,14276.955643634516,0.006772041320800781,0.0,2
14742,353808,353975,353831,1474.1094545454544,2223.9950000000003,1474.1094545454544,11837.072409288243,0.006529808044433594,0.0,2
14743,353832,353999,353855,2223.9950000000003,1679.661272727273,2223.9950000000003,12409.966681218366,0.006022930145263672,0.0,2
14744,353856,354023,353879,1679.661272727273,2091.253090909091,1679.661272727273,13571.341747093262,0.00680088996887207,0.0,2
14745,353880,354047,353903,2091.253090909091,2120.6382727272726,2091.253090909091,14385.862690201688,0.006591081619262695,0.0,2
14746,353904,354071,353927,2120.6382727272726,661.8181818181818,2120.6382727272726,12063.785973611992,0.006940126419067383,0.0,2
14747,353928,354095,353951,661.8181818181818,895.9126363636365,661.8181818181818,11143.029423441136,0.004189968109130859,0.0,2
14748,353952,354119,353975,895.9126363636365,561.8181818181818,895.9126363636365,9850.326403394562,0.00417780876159668,0.0,2
14749,353976,354143,353999,561.8181818181818,1490.804090909091,561.8181818181818,12101.536810630347,0.004058837890625,0.0,2
14750,354000,354167,354023,1490.804090909091,2204.93,1490.804090909091,13146.769169944468,0.006474018096923828,0.0,2
14751,354024,354191,354047,2204.93,2400.0,2204.93,11978.406608824598,0.0063228607177734375,0.0,2
14752,354048,354215,354071,2400.0,1490.909090909091,2400.0,10554.572358133353,0.004846096038818359,0.0,2
14753,354072,354239,354095,1490.909090909091,1551.8325454545457,1490.909090909091,10388.58762434141,0.009872913360595703,0.0,2
