datetime,speed,power,nwpdb,pluswind,rnn_preds
2018-07-06 06:00:00,2.0789037621811057,3,0.0,0.0,0.0
2018-07-06 07:00:00,1.5029453124435466,1,0.0,0.0,0.0
2018-07-06 08:00:00,1.2882486741403538,0,0.0,0.0,0.0
2018-07-06 09:00:00,4.1630077256416245,13,0.0,6.26273433,0.0
2018-07-06 10:00:00,10.493465581958962,83,0.641969302,100.3409718,10.241568
2018-07-06 11:00:00,10.929840322923113,97,49.26505164,101.611695,44.54274
2018-07-06 12:00:00,12.783452477423644,99,40.73826056,104.0,73.08743
2018-07-06 13:00:00,12.651012330905322,96,74.86822083,104.0,85.52791
2018-07-06 14:00:00,9.590981483697975,77,91.83463237,93.01171409,78.243805
2018-07-06 15:00:00,8.428938999084265,46,83.47376714,62.06373204,60.21713
2018-07-06 16:00:00,7.754116004554205,36,58.65890784,48.01587539,43.231777
2018-07-06 17:00:00,5.876045251288353,33,40.87956132,20.11465663,25.403835
2018-07-06 18:00:00,5.182807028826484,35,18.70685846,13.36644107,12.31594
2018-07-06 19:00:00,5.153006514483494,20,13.29085462,13.1133914,6.2268157
2018-07-06 20:00:00,4.786890426918061,8,15.47970266,10.23779719,3.1090457
2018-07-06 21:00:00,4.800472900226549,10,11.57144021,10.33696582,2.7920594
2018-07-06 22:00:00,4.569310662838238,25,11.97985799,8.724896779,2.953705
2018-07-06 23:00:00,2.781326835592836,21,13.96184472,0.897721759,0.0
2018-07-07 00:00:00,4.320488954317945,14,1.956400368,7.163059754,0.0
2018-07-07 01:00:00,3.020824476174483,7,5.358499939,1.539471107,0.0
2018-07-07 02:00:00,2.1143705483693456,8,0.0,0.0,0.0
2018-07-07 03:00:00,2.175176264424044,16,0.0,0.0,0.0
2018-07-07 04:00:00,2.360933164718938,1,0.0,0.0,0.0
2018-07-07 05:00:00,2.0059743928050837,1,0.0,0.0,0.0
2018-07-07 06:00:00,5.781279972677011,11,0.0,19.09115304,0.0
2018-07-07 07:00:00,10.451897018788774,63,17.26951066,100.2199241,23.60718
2018-07-07 08:00:00,12.153357412554632,58,76.17547985,104.0,60.33485
2018-07-07 09:00:00,10.182947536457238,93,95.13310345,99.43674323,76.32843
2018-07-07 10:00:00,9.133415830861466,86,92.37322423,79.34507194,72.44729
2018-07-07 11:00:00,9.984732749337269,75,51.4835037,98.85954177,67.513725
2018-07-07 12:00:00,10.033353851990231,65,73.38924824,99.00112642,66.46996
2018-07-07 13:00:00,11.282438521677934,37,86.29484789,102.638461,72.63473
2018-07-07 14:00:00,7.30896538013951,38,94.48331704,39.9850567,61.62237
2018-07-07 15:00:00,4.661995801742878,37,35.82071679,9.352124159,33.054718
2018-07-07 16:00:00,4.406411617556783,32,8.982444759,7.682707952,11.613089
2018-07-07 17:00:00,4.682699033563091,24,7.09160429,9.495697703,5.107339
2018-07-07 18:00:00,5.249584064630071,24,10.43467562,13.94416007,7.9298005
2018-07-07 19:00:00,4.574969182968903,17,14.81727384,8.762468062,7.878207
2018-07-07 20:00:00,4.042916809405223,10,8.626409042,5.620101431,4.9401474
2018-07-07 21:00:00,4.064406404345945,11,6.46777673,5.732364587,1.6738471
2018-07-07 22:00:00,3.971656269370761,10,6.034041972,5.256219139,0.0
2018-07-07 23:00:00,4.6076480440679175,13,7.53461526,8.981276186,0.1308959
2018-07-08 00:00:00,4.961515239625168,8,10.38472416,11.55631757,2.9033947
2018-07-08 01:00:00,4.89507075882869,5,12.55422209,11.04341828,5.2381563
2018-07-08 02:00:00,4.679214466427883,7,7.611485047,9.471443389,3.3801613
2018-07-08 03:00:00,4.631343052661992,1,5.813320951,9.141889559,1.7765005
2018-07-08 04:00:00,3.2772134324193973,0,3.49504767,2.345403439,0.0
2018-07-08 05:00:00,3.8522133806136374,4,0.021548685,4.674710913,0.0
2018-07-08 06:00:00,4.085774995988581,11,0.564934325,5.845168924,0.0
2018-07-08 07:00:00,3.941514260703251,4,0.390929166,5.106142856,0.0
2018-07-08 08:00:00,4.162053574251217,0,0.40794372,6.257480656,0.0
2018-07-08 09:00:00,4.25898784806421,0,1.023614951,6.803532902,0.0
2018-07-08 10:00:00,2.8262580496844323,0,2.461344957,1.011056388,0.0
2018-07-08 11:00:00,2.401647168630035,0,0.0,0.0,0.0
2018-07-08 12:00:00,1.6966120845456103,0,0.0,0.0,0.0
2018-07-08 13:00:00,2.190302122300659,0,0.0,0.0,0.0
2018-07-08 14:00:00,2.123962576113051,0,0.0,0.0,0.0
2018-07-08 15:00:00,2.5932672867510664,0,0.0,0.0,0.0
