hour,datetime,wind_generation_mw,electricity_price_lmp,price,delivered_power_mw,gurobi_direct,stored_energy_mw,released_energy_mw,net_storage_power_mw,soc_mwh,gurobi_storage_end,gurobi_curtailment,gurobi_mode_binary_charge,user_load_zonal
28,2020-01-07 04:00:00,14.504,23.573333333333327,0.9397484050164104,14.504,14.504,0.0,0.0,0.0,200.0,200.0,0.0,-0.0,1144.952072
29,2020-01-07 05:00:00,8.902,24.09166666666667,0.9604117077568024,8.902,8.902,0.0,0.0,0.0,200.0,200.0,0.0,-0.0,1112.741262
30,2020-01-07 06:00:00,10.872,20.076666666666664,0.8003541633786538,10.872,10.872,0.0,0.0,0.0,200.0,200.0,0.0,-0.0,1095.700111
31,2020-01-07 07:00:00,19.903,19.930833333333332,0.7945405331864215,19.903,19.903,0.0,0.0,0.0,200.0,200.0,0.0,-0.0,1083.053901
32,2020-01-07 08:00:00,28.315,13.246666666666664,0.528076945918441,0.0,0.0,28.315,0.0,-28.315,200.0,228.315,0.0,1.0,1070.845744
33,2020-01-07 09:00:00,41.553,8.2075,0.3271911072188428,0.0,0.0,41.553,0.0,-41.553,228.315,269.868,0.0,1.0,1071.475353
34,2020-01-07 10:00:00,52.354,23.359166666666667,0.9312106738198176,52.354,52.354,0.0,0.0,0.0,269.868,269.868,0.0,-0.0,1087.806404
35,2020-01-07 11:00:00,57.711,11.52,0.4592435644424087,0.0,0.0,57.711,0.0,-57.711,269.868,327.579,0.0,1.0,1110.342047
36,2020-01-07 12:00:00,75.981,21.307499999999997,0.8494212022010958,75.981,75.981,0.0,0.0,0.0,327.579,327.579,0.0,-0.0,1147.455389
37,2020-01-07 13:00:00,93.196,20.186666666666667,0.804739301580795,93.196,93.196,0.0,0.0,0.0,327.579,327.579,0.0,-0.0,1172.930569
38,2020-01-07 14:00:00,89.261,21.118333333333332,0.8418800933231715,89.261,89.261,0.0,0.0,0.0,327.579,327.579,0.0,-0.0,1183.613023
39,2020-01-07 15:00:00,98.007,20.02,0.7980951527896721,98.007,98.007,0.0,0.0,0.0,327.579,327.579,0.0,-0.0,1175.213675
40,2020-01-07 16:00:00,83.628,20.3925,0.8129448253378316,83.628,83.628,0.0,0.0,0.0,327.579,327.579,0.0,-0.0,1167.832905
41,2020-01-07 17:00:00,65.013,19.735,0.7867336583568522,65.013,65.013,0.0,0.0,0.0,327.579,327.579,0.0,-0.0,1161.010852
42,2020-01-07 18:00:00,85.381,20.028333333333336,0.7984273602292284,85.381,85.381,0.0,0.0,0.0,327.579,327.579,0.0,-0.0,1154.923548
43,2020-01-07 19:00:00,144.855,20.835833333333337,0.8306182611222185,144.855,144.855,0.0,0.0,0.0,327.579,327.579,0.0,-0.0,1137.368333
44,2020-01-07 20:00:00,187.24,9.805,0.390875273381755,87.24000000000001,87.24000000000001,100.0,0.0,-100.0,327.579,427.579,0.0,1.0,1120.846182
45,2020-01-07 21:00:00,188.851,6.2425,0.2488565929715049,88.851,88.851,100.0,0.0,-100.0,427.579,527.579,0.0,1.0,1119.906292
46,2020-01-07 22:00:00,159.144,20.0525,0.7993907618039411,159.144,159.144,0.0,0.0,0.0,527.579,527.579,0.0,0.0,1148.397371
47,2020-01-07 23:00:00,178.136,3.984999999999999,0.1588615975957464,78.13599999999997,78.13599999999997,100.0,0.0,-100.0,527.579,627.579,2.8421709430404014e-14,1.0,1214.633959
48,2020-01-08 00:00:00,207.374,25.493333333333336,1.0162889990901454,207.374,207.374,0.0,0.0,0.0,627.579,627.579,0.0,1.0,1232.012153
49,2020-01-08 01:00:00,207.96,16.275000000000002,0.6488011294531427,107.96,107.96,100.0,0.0,-100.0,627.579,727.579,0.0,1.0,1219.242348
50,2020-01-08 02:00:00,202.562,16.20416666666667,0.6459773662169155,102.562,102.562,100.0,0.0,-100.0,727.579,827.579,0.0,1.0,1194.986095
51,2020-01-08 03:00:00,199.207,20.804166666666664,0.8293558728519049,199.207,199.207,0.0,0.0,0.0,827.579,827.579,0.0,1.0,1149.99033
52,2020-01-08 04:00:00,200.992,17.96,0.7159734737313943,128.57099999999994,128.57099999999994,72.42100000000005,0.0,-72.42100000000005,827.579,900.0,0.0,1.0,1104.704561
53,2020-01-08 05:00:00,207.36,19.981666666666666,0.7965669985677138,207.36,207.36,0.0,0.0,0.0,900.0,900.0,0.0,-0.0,1074.019985
54,2020-01-08 06:00:00,208.116,5.164166666666666,0.2058689502929402,108.116,108.116,100.0,0.0,-100.0,900.0,1000.0,0.0,1.0,1072.092089
55,2020-01-08 07:00:00,213.832,37.84583333333334,1.5087200867442128,249.0,213.832,0.0,35.168000000000006,35.168000000000006,1000.0,936.0581818181818,0.0,-0.0,1082.021649
56,2020-01-08 08:00:00,215.027,18.855,0.7516525527397238,215.027,215.027,0.0,0.0,0.0,936.0581818181818,936.0581818181818,0.0,1.0,1106.534669
57,2020-01-08 09:00:00,213.139,19.21,0.7658045896648153,213.139,213.139,0.0,0.0,0.0,936.0581818181818,936.0581818181818,0.0,0.0,1150.170019
58,2020-01-08 10:00:00,213.346,27.464166666666667,1.0948560585451723,213.346,213.346,0.0,0.0,0.0,936.0581818181818,936.0581818181818,0.0,1.0,1226.896868
59,2020-01-08 11:00:00,214.924,21.796666666666663,0.8689217789030412,214.924,214.924,0.0,0.0,0.0,936.0581818181818,936.0581818181818,0.0,0.0,1353.762412
60,2020-01-08 12:00:00,215.317,37.59692307692307,1.4987973060688546,249.0,215.317,0.0,33.68299999999999,33.68299999999999,936.0581818181818,874.8163636363636,0.0,-0.0,1422.350288
61,2020-01-08 13:00:00,215.381,39.91583333333333,1.5912404147299577,249.0,215.381,0.0,33.619,33.619,874.8163636363636,813.690909090909,0.0,0.0,1387.987495
62,2020-01-08 14:00:00,215.329,17.893333333333334,0.7133158142149452,115.329,115.329,100.0,0.0,-100.0,813.690909090909,913.690909090909,0.0,1.0,1321.458055
63,2020-01-08 15:00:00,215.313,51.970000000000006,2.071778476047915,249.0,215.313,0.0,33.68700000000001,33.68700000000001,913.690909090909,852.4418181818181,0.0,0.0,1256.238949
64,2020-01-08 16:00:00,215.311,8.100833333333332,0.3229388519925242,115.31099999999992,115.31099999999992,100.0,0.0,-100.0,852.4418181818181,952.4418181818182,8.526512829121202e-14,1.0,1210.494314
65,2020-01-08 17:00:00,207.946,76.34083333333332,3.043319133029848,249.0,207.946,0.0,41.054,41.054,952.4418181818182,877.7981818181819,0.0,0.0,1156.206968
66,2020-01-08 18:00:00,214.845,17.99666666666667,0.7174351864654414,114.84499999999991,114.84499999999991,100.0,0.0,-100.0,877.7981818181819,977.798181818182,8.526512829121202e-14,1.0,1129.078124
67,2020-01-08 19:00:00,215.302,32.80083333333334,1.3076017028369251,215.302,215.302,0.0,0.0,0.0,977.798181818182,977.798181818182,0.0,-0.0,1109.039049
68,2020-01-08 20:00:00,215.302,26.91416666666667,1.0729303675344677,215.302,215.302,0.0,0.0,0.0,977.798181818182,977.798181818182,0.0,1.0,1101.917062
