power_generated,price,optimal_release,optimal_direct,optimal_charge,optimal_discharge_before_rte,optimal_storage,baseload_release,optimal_curtailment
7.719,1.317154011474011,7.719,7.719,0.0,-0.0,0.0,7.719,0.0
10.664,1.2433622171775556,10.664,10.664,0.0,0.0,-0.0,10.664,0.0
7.117,1.010209663918475,0.0,0.0,7.117,0.0,0.0,7.117,0.0
6.298,0.7038261339995922,0.0,0.0,6.298,0.0,7.117,6.298,0.0
14.469,0.6947054682245501,0.0,0.0,14.469,0.0,13.415,14.469,0.0
31.321,0.686529337416503,0.0,0.0,31.321,0.0,27.884,31.321,0.0
65.704,0.7191748272132547,0.0,0.0,65.704,0.0,59.205,65.704,0.0
76.538,0.7440869369677382,0.0,0.0,76.538,0.0,124.90899999999999,76.538,0.0
58.905,0.7786805301339165,0.0,0.0,58.905,0.0,201.447,58.905,0.0
70.522,0.7846724238307887,0.0,0.0,70.522,0.0,260.352,70.522,0.0
42.757,1.0149618554711668,0.0,0.0,42.757,0.0,330.87399999999997,42.757,0.0
21.588,1.2230251986694527,88.74972999999997,21.588,0.0,80.91774698795177,373.631,21.588,0.0
6.048,1.3543745925171429,249.0,6.048,0.0,292.7132530120482,292.7132530120482,6.048,0.0
25.509,1.0712388835767652,25.509,25.509,0.0,0.0,0.0,25.509,0.0
64.552,1.0511198346764299,64.552,64.552,0.0,0.0,-0.0,64.552,0.0
77.576,1.0301039316607994,77.576,77.576,0.0,0.0,-0.0,77.576,0.0
79.181,0.9782430586292504,78.05410843373492,78.05410843373492,1.1268915662650727,0.0,-0.0,79.181,0.0
74.874,0.8949173645096931,0.0,0.0,74.874,0.0,1.1268915662650727,74.874,0.0
59.483,0.8489598350218608,0.0,0.0,59.483,0.0,76.00089156626507,59.483,0.0
41.671,0.7811894511399958,0.0,0.0,41.671,0.0,135.48389156626507,41.671,0.0
48.468,0.8175245306515706,0.0,0.0,48.468,0.0,177.15489156626506,48.468,0.0
126.332,1.2100673595909948,249.0,126.332,0.0,147.79277108433737,225.62289156626508,118.99310714285714,0.0
184.401,1.2769227252235837,249.0,184.401,0.0,77.83012048192771,77.83012048192771,118.99310714285714,0.0
223.278,1.0397263816370572,223.278,223.278,0.0,-0.0,0.0,118.99310714285714,0.0
233.133,0.9807519796353303,233.133,233.133,0.0,-0.0,0.0,118.99310714285714,0.0
235.027,0.8414035552859034,235.027,235.027,0.0,-0.0,0.0,118.99310714285714,0.0
235.176,0.711529997324142,235.176,235.176,0.0,0.0,-0.0,118.99310714285714,0.0
235.182,0.7340217362257015,235.182,235.182,0.0,0.0,-0.0,118.99310714285714,0.0
235.185,0.7196850447623904,235.185,235.185,0.0,0.0,-0.0,118.99310714285714,0.0
235.178,0.6972439059483482,100.01896385542162,100.01896385542162,135.15903614457838,0.0,0.0,118.99310714285714,0.0
235.179,0.7044459850716822,235.179,235.179,0.0,0.0,135.15903614457838,118.99310714285714,0.0
235.183,0.7976597796269648,235.183,235.183,0.0,0.0,135.15903614457838,118.99310714285714,0.0
235.183,2.1233736392393645,249.0,235.183,0.0,16.646987951807237,135.15903614457838,118.99310714285714,0.0
235.183,0.9865962897436094,249.0,235.183,0.0,16.646987951807237,118.51204819277115,118.99310714285714,0.0
235.178,1.1133410756272013,249.0,235.178,0.0,16.653012048192775,101.8650602409639,118.99310714285714,0.0
235.152,1.1164108142699338,249.0,235.152,0.0,16.68433734939761,85.21204819277112,118.99310714285714,0.0
234.326,0.9195933405224277,249.0,234.326,0.0,17.679518072289166,68.52771084337351,118.99310714285714,0.0
234.668,0.9337318483096287,249.0,234.668,0.0,17.267469879518064,50.84819277108435,118.99310714285714,0.0
234.981,0.9231353466486576,249.0,234.981,0.0,16.89036144578314,33.58072289156628,118.99310714285714,0.0
235.147,1.2111004447111455,249.0,235.147,0.0,16.690361445783143,16.690361445783143,118.99310714285714,0.0
235.146,0.6800356595184147,235.146,235.146,0.0,-0.0,0.0,118.99310714285714,0.0
235.175,0.6604070422355577,235.175,235.175,0.0,-0.0,0.0,118.99310714285714,0.0
235.183,0.6011079563389261,235.183,235.183,0.0,-0.0,0.0,118.99310714285714,0.0
235.172,0.5676950318814911,235.172,235.172,0.0,0.0,-0.0,118.99310714285714,0.0
234.318,0.555475110745998,234.318,234.318,0.0,0.0,-0.0,118.99310714285714,0.0
234.829,0.5583972658001375,234.829,234.829,0.0,0.0,-0.0,118.99310714285714,0.0
215.283,0.30930568497302263,215.283,215.283,0.0,-0.0,0.0,118.99310714285714,0.0
170.737,0.09914665481671754,46.75100000000032,46.75100000000032,123.98599999999968,0.0,0.0,118.99310714285714,0.0
25.647,-0.009415832952227714,0.0,0.0,25.647,0.0,123.98599999999968,118.99310714285713,0.0
197.28,-0.006759328357555318,0.0,0.0,197.28,0.0,149.63299999999967,118.99310714285714,0.0
207.941,0.017975681090616546,0.0,0.0,207.941,0.0,346.91299999999967,118.99310714285714,0.0
233.888,-0.010537468225533838,0.0,0.0,233.888,0.0,554.8539999999997,118.99310714285714,0.0
201.68,-0.019038282928485504,0.0,0.0,201.68,0.0,788.7419999999997,118.99310714285714,0.0
174.494,-0.08232212571712572,0.0,0.0,174.494,0.0,990.4219999999997,118.99310714285714,0.0
159.373,-0.11428873100635019,0.0,0.0,159.373,0.0,1164.9159999999997,118.99310714285714,0.0
158.352,-0.16792060710101403,0.0,0.0,158.352,0.0,1324.2889999999998,118.99310714285714,0.0
164.02,-0.10502048164271541,0.0,0.0,164.02,0.0,1482.6409999999998,118.99310714285714,0.0
