power_generated,price,optimal_release,optimal_direct,optimal_charge,optimal_discharge_before_rte,optimal_storage,baseload_release,optimal_curtailment
188.935,1.7692025433340977,188.935,188.935,0.0,0.0,189.85636363636362,118.99310714285714,0.0
204.843,1.7490721418500241,204.843,204.843,0.0,0.0,189.85636363636362,118.99310714285714,0.0
214.532,1.699838256695429,214.532,214.532,0.0,0.0,189.85636363636362,118.99310714285714,0.0
215.021,1.7149803328850617,215.021,215.021,0.0,0.0,189.85636363636362,118.99310714285714,0.0
214.719,1.7982765102869003,214.719,214.719,0.0,0.0,189.85636363636362,118.99310714285714,0.0
208.278,1.916431931314385,208.278,208.278,0.0,0.0,189.85636363636362,118.99310714285714,0.0
200.705,2.211244907887584,200.705,200.705,0.0,0.0,189.85636363636362,118.99310714285714,0.0
199.579,2.647059245002449,249.0,199.579,0.0,89.85636363636361,189.85636363636362,118.99310714285714,0.0
189.013,2.4943987809619426,244.013,189.013,0.0,100.0,100.0,118.99310714285714,0.0
170.132,1.9462733329278716,170.132,170.132,0.0,0.0,-0.0,118.99310714285714,0.0
132.86,1.8666667452408552,132.86,132.86,0.0,0.0,0.0,118.99310714285714,0.0
105.53,1.9218334906568857,105.53,105.53,0.0,-0.0,-0.0,118.99310714285714,0.0
85.126,1.4849565517041508,85.126,85.126,0.0,0.0,-0.0,118.99310714285714,0.0
71.643,1.3679227659499724,71.643,71.643,0.0,0.0,-0.0,118.99310714285714,0.0
52.579,1.3244151240327826,52.579,52.579,0.0,0.0,-0.0,107.57900000000001,0.0
42.685,1.3121066527441336,42.685,42.685,0.0,0.0,-0.0,97.685,0.0
28.55,1.0464561932768939,28.55,28.55,0.0,0.0,0.0,43.869678571428594,0.0
9.575,1.383507592905384,9.575,9.575,0.0,0.0,-0.0,9.575,0.0
0.814,1.6413361221771992,0.814,0.814,0.0,-0.0,-0.0,0.814,0.0
2.081,1.6181654987681122,2.081,2.081,0.0,0.0,-0.0,2.081,0.0
4.222,1.4430132958260453,4.222,4.222,0.0,0.0,-0.0,4.222,0.0
7.719,1.317154011474011,7.719,7.719,0.0,0.0,-0.0,7.719,0.0
10.664,1.2433622171775556,10.664,10.664,0.0,0.0,-0.0,10.664,0.0
7.117,1.010209663918475,7.117,7.117,0.0,0.0,-0.0,7.117,0.0
6.298,0.7038261339995922,0.0,0.0,6.298,0.0,0.0,6.298,0.0
14.469,0.6947054682245501,0.0,0.0,14.469,0.0,6.298,14.469,0.0
31.321,0.686529337416503,0.0,0.0,31.321,0.0,20.767,31.321,0.0
65.704,0.7191748272132547,17.791999999999994,17.791999999999994,47.912,0.0,52.088,65.704,0.0
76.538,0.7440869369677382,76.538,76.538,0.0,0.0,100.0,76.538,0.0
58.905,0.7786805301339165,58.905,58.905,0.0,0.0,100.0,58.905,0.0
70.522,0.7846724238307887,70.522,70.522,0.0,0.0,100.0,70.522,0.0
42.757,1.0149618554711668,42.757,42.757,0.0,0.0,100.0,42.757,0.0
21.588,1.2230251986694527,21.588,21.588,0.0,0.0,100.0,21.588,0.0
6.048,1.3543745925171429,61.04800000000001,6.048,0.0,100.0,100.0,6.048,0.0
25.509,1.0712388835767652,25.509,25.509,0.0,0.0,-0.0,25.509,0.0
64.552,1.0511198346764299,64.552,64.552,0.0,0.0,-0.0,64.552,0.0
77.576,1.0301039316607994,77.576,77.576,0.0,0.0,-0.0,77.576,0.0
79.181,0.9782430586292504,79.181,79.181,0.0,0.0,-0.0,79.181,0.0
74.874,0.8949173645096931,74.874,74.874,0.0,0.0,-0.0,74.874,0.0
59.483,0.8489598350218608,59.483,59.483,0.0,0.0,-0.0,59.483,0.0
41.671,0.7811894511399958,41.671,41.671,0.0,0.0,-0.0,41.671,0.0
48.468,0.8175245306515706,48.468,48.468,0.0,0.0,-0.0,48.468,0.0
