Date,Time,Power
20180126,1300,223.538
20180126,1400,225.381
20180126,1500,225.556
20180126,1600,199.124
20180126,1700,161.239
20180126,1800,135.571
20180126,1900,131.138
20180126,2000,111.094
20180126,2100,95.05
20180126,2200,108.6
20180126,2300,99.183
20180127,0,108.167
20180127,100,109.607
20180127,200,75.823
20180127,300,143.704
20180127,400,194.408
20180127,500,201.129
20180127,600,193.526
20180127,700,198.378
20180127,800,200.955
20180127,900,151.197
20180127,1000,128.462
20180127,1100,147.279
20180127,1200,167.067
20180127,1300,129.84
20180127,1400,95.665
20180127,1500,78.919
20180127,1600,72.633
20180127,1700,56.551
20180127,1800,50.67
20180127,1900,48.753
20180127,2000,44.959
20180127,2100,41.413
20180127,2200,36.974
20180127,2300,28.153
20180128,0,18.815
20180128,100,18.977
20180128,200,13.591
20180128,300,11.035
20180128,400,4.042
20180128,500,0.112
20180128,600,0
20180128,700,0
20180128,800,0
20180128,900,0
20180128,1000,0
20180128,1100,0
20180128,1200,0.005
20180128,1300,0.053
20180128,1400,0.006
20180128,1500,0
20180128,1600,0
20180128,1700,0
20180128,1800,0
20180128,1900,0
20180128,2000,0.313
20180128,2100,6.119
20180128,2200,6.804
20180128,2300,5.522
20180129,0,7.487
20180129,100,3.364
20180129,200,15.441
20180129,300,41.262
20180129,400,74.936
20180129,500,206.042
20180129,600,192.89
20180129,700,147.33
20180129,800,98.901
20180129,900,48.579
20180129,1000,33.715
20180129,1100,18.584
20180129,1200,11.166
20180129,1300,5.329
20180129,1400,0.801
20180129,1500,0.002
20180129,1600,0
20180129,1700,0
20180129,1800,0
20180129,1900,1.942
20180129,2000,12.286
20180129,2100,25.594
20180129,2200,45.387
20180129,2300,108.517
20180130,0,174.95
20180130,100,207.381
20180130,200,206.089
20180130,300,194.573
20180130,400,192.189
20180130,500,193.158
20180130,600,200.68
20180130,700,216.441
20180130,800,223.17
20180130,900,194.468
20180130,1000,200.093
20180130,1100,227.278
20180130,1200,234.849
20180130,1300,234.961
20180130,1400,235.037
20180130,1500,234.979
20180130,1600,234.917
20180130,1700,234.816
20180130,1800,234.913
20180130,1900,235.212
20180130,2000,235.214
20180130,2100,235.184
20180130,2200,235.188
20180130,2300,235.19
20180131,0,235.182
20180131,100,235.181
20180131,200,235.184
20180131,300,235.186
20180131,400,235.182
20180131,500,235.185
20180131,600,235.196
20180131,700,235.186
20180131,800,235.189
20180131,900,235.186
20180131,1000,234.188
20180131,1100,234.854
20180131,1200,235.157
20180131,1300,235.119
20180131,1400,235.09
20180131,1500,233.947
20180131,1600,217.038
20180131,1700,190.964
20180131,1800,208.628
20180131,1900,229.892
20180131,2000,230.376
20180131,2100,230.375
20180131,2200,230.372
20180131,2300,230.357
20180201,0,230.353
20180201,100,230.428
20180201,200,230.859
20180201,300,79.99
20180201,400,9.542
20180201,500,151.002
20180201,600,191.919
20180201,700,201.836
20180201,800,200.566
20180201,900,177.516
20180201,1000,216.371
20180201,1100,218.07
20180201,1200,213.67
20180201,1300,213.861
20180201,1400,184.496
20180201,1500,173.977
20180201,1600,163.165
20180201,1700,149.946
20180201,1800,134.293
20180201,1900,137.798
20180201,2000,133.926
20180201,2100,153.346
20180201,2200,84.813
20180201,2300,87.577
20180202,0,77.879
20180202,100,68.381
20180202,200,65.299
20180202,300,85.527
20180202,400,70.295
20180202,500,62.422
20180202,600,27.901
20180202,700,9.022
20180202,800,1.819
20180202,900,0
20180202,1000,0
20180202,1100,0
20180202,1200,0.002
20180202,1300,0.66
20180202,1400,5.346
20180202,1500,18.819
20180202,1600,24.528
20180202,1700,38.19
20180202,1800,60.084
20180202,1900,91.732
20180202,2000,123.548
20180202,2100,140.294
20180202,2200,171.97
20180202,2300,177.658
20180203,0,163.358
20180203,100,160.612
20180203,200,193.598
20180203,300,208.041
20180203,400,207.806
20180203,500,214.963
20180203,600,216.447
20180203,700,229.104
20180203,800,218.12
20180203,900,230.271
20180203,1000,231.704
20180203,1100,231.482
20180203,1200,231.674
20180203,1300,231.1
20180203,1400,216.687
20180203,1500,168.277
20180203,1600,147.062
20180203,1700,126.1
20180203,1800,116.972
20180203,1900,51.573
20180203,2000,4.161
20180203,2100,6.101
20180203,2200,11.949
20180203,2300,4.21
20180204,0,6.648
20180204,100,12.221
20180204,200,23.671
20180204,300,39.411
20180204,400,48.699
20180204,500,38.041
20180204,600,38.192
20180204,700,40.855
20180204,800,39.342
20180204,900,23.181
20180204,1000,2.419
20180204,1100,0.28
20180204,1200,1.75
20180204,1300,23.28
20180204,1400,116.88
20180204,1500,174.451
20180204,1600,217.911
20180204,1700,230.071
20180204,1800,230.58
20180204,1900,230.039
20180204,2000,217.327
20180204,2100,198.705
20180204,2200,150.09
20180204,2300,153.015
20180205,0,127.529
20180205,100,100.522
20180205,200,46.907
20180205,300,6.883
20180205,400,0.675
20180205,500,0
20180205,600,0
20180205,700,0
20180205,800,2.51
20180205,900,7.066
20180205,1000,60.139
20180205,1100,70.107
20180205,1200,114.581
20180205,1300,173.636
20180205,1400,199.714
20180205,1500,170.766
20180205,1600,144.557
20180205,1700,116.376
20180205,1800,113.905
20180205,1900,95.906
