,date,hour,minute,lmp
273,12/28/2018 ,01,20,15.77
274,11/28/2018 ,04,30,5.23
275,05/16/2018 ,08,55,19.64
276,01/01/2018 ,05,20,32.35
277,07/26/2018 ,01,55,17.48
278,11/22/2018 ,05,30,30.66
279,02/01/2018 ,12,55,16.84
280,11/04/2018 ,18,40,26.03
281,07/09/2018 ,17,35,27.94
282,12/21/2018 ,06,15,73.62
283,05/19/2018 ,23,30,17.99
284,04/25/2018 ,18,00,26.28
285,08/27/2018 ,06,10,17.22
286,08/31/2018 ,07,50,22.45
287,09/24/2018 ,15,15,39.05
288,02/15/2018 ,01,05,-0.86
289,05/30/2018 ,18,20,25.46
290,11/18/2018 ,17,50,81.58
291,07/13/2018 ,06,25,16.85
292,08/30/2018 ,22,30,25.54
293,10/17/2018 ,07,20,24.37
294,09/12/2018 ,00,10,18.48
295,08/21/2018 ,05,25,19.37
296,12/22/2018 ,15,30,22.33
297,03/05/2018 ,21,30,21.93
298,03/23/2018 ,17,45,-8.09
299,01/19/2018 ,13,00,19.27
300,01/25/2018 ,14,50,16.32
301,02/06/2018 ,23,45,21.14
302,03/19/2018 ,08,20,10.81
303,06/01/2018 ,01,15,16.63
304,02/09/2018 ,12,50,19.76
305,02/11/2018 ,21,35,25.64
306,12/28/2018 ,16,05,17.75
307,01/27/2018 ,04,15,15.78
308,12/31/2018 ,05,40,17.34
309,03/08/2018 ,13,25,14.42
310,10/11/2018 ,19,10,32.43
311,02/20/2018 ,10,40,20.16
312,02/08/2018 ,12,15,19.67
313,02/04/2018 ,06,45,19.0
314,06/14/2018 ,05,15,17.46
315,01/19/2018 ,17,30,19.32
316,10/07/2018 ,00,35,23.26
317,10/07/2018 ,22,05,18.06
318,05/03/2018 ,08,15,24.13
319,07/17/2018 ,17,10,49.11
320,08/20/2018 ,05,40,19.34
321,02/25/2018 ,00,10,18.91
322,04/19/2018 ,12,25,20.11
323,07/24/2018 ,06,15,20.03
324,04/08/2018 ,21,07,16.55
325,04/12/2018 ,23,35,-1.16
326,03/07/2018 ,19,45,20.37
327,04/13/2018 ,17,15,-6.18
328,06/22/2018 ,22,40,12.77
329,10/09/2018 ,22,40,21.47
330,11/02/2018 ,16,30,21.03
331,09/26/2018 ,17,45,34.3
332,09/21/2018 ,10,35,26.27
333,02/02/2018 ,21,35,19.34
334,10/18/2018 ,00,45,20.76
335,09/07/2018 ,19,45,28.65
336,03/27/2018 ,03,00,18.07
337,07/17/2018 ,04,55,5.41
338,09/13/2018 ,05,25,18.03
339,01/22/2018 ,16,50,17.27
340,05/31/2018 ,03,45,15.96
341,10/14/2018 ,10,45,21.92
342,04/22/2018 ,11,20,19.78
343,09/18/2018 ,21,45,4.89
344,04/16/2018 ,03,05,-5.51
345,03/10/2018 ,02,00,18.39
346,10/15/2018 ,07,25,11.74
347,08/03/2018 ,15,00,37.0
348,11/16/2018 ,02,15,26.04
349,10/04/2018 ,01,15,24.36
350,04/07/2018 ,03,30,-0.33
351,11/28/2018 ,07,05,21.31
352,09/17/2018 ,18,25,37.91
353,04/29/2018 ,14,35,13.36
354,06/10/2018 ,16,25,33.51
355,09/19/2018 ,21,00,36.43
356,05/14/2018 ,09,20,4.37
357,09/19/2018 ,11,35,14.83
358,05/03/2018 ,23,00,19.11
359,03/18/2018 ,13,45,18.52
360,07/10/2018 ,20,45,27.86
361,12/02/2018 ,06,30,57.37
362,01/21/2018 ,11,55,16.23
363,05/05/2018 ,00,20,19.18
364,02/05/2018 ,10,25,24.8
365,12/03/2018 ,19,15,27.59
366,08/08/2018 ,10,30,21.81
367,04/13/2018 ,06,55,-0.38
368,02/18/2018 ,00,10,20.21
369,06/30/2018 ,17,50,41.67
