datetime,gurobi_release,gurobi_charge,gurobi_discharge,gurobi_storage_start,horizon_hours,net_storage_power
2020-01-11 14:00:00,3.396,0.0,0.0,1258.1818181818182,24,0.0
2020-01-11 15:00:00,122.668,0.0,100.0,1258.1818181818182,24,100.0
2020-01-11 16:00:00,40.863,0.0,0.0,1076.3636363636365,24,0.0
2020-01-11 17:00:00,156.233,0.0,100.0,1076.3636363636365,24,100.0
2020-01-11 18:00:00,60.971,0.0,0.0,894.5454545454547,24,0.0
2020-01-11 19:00:00,203.882,0.0,100.0,894.5454545454547,24,100.0
2020-01-11 20:00:00,159.829,0.0,0.0,712.727272727273,24,0.0
2020-01-11 21:00:00,121.92,100.0,0.0,712.727272727273,24,-100.0
2020-01-11 22:00:00,234.391,0.0,0.0,812.727272727273,24,0.0
2020-01-11 23:00:00,135.002,100.0,0.0,812.727272727273,24,-100.0
2020-01-12 00:00:00,235.099,0.0,0.0,912.727272727273,24,0.0
2020-01-12 01:00:00,235.144,0.0,0.0,912.727272727273,24,0.0
2020-01-12 02:00:00,135.163,100.0,0.0,912.727272727273,24,-100.0
2020-01-12 03:00:00,135.15699999999993,100.0,0.0,1012.727272727273,24,-100.0
2020-01-12 04:00:00,235.159,0.0,0.0,1112.727272727273,24,0.0
2020-01-12 05:00:00,235.128,0.0,0.0,1112.727272727273,24,0.0
2020-01-12 06:00:00,135.131,100.0,0.0,1112.727272727273,24,-100.0
2020-01-12 07:00:00,235.138,0.0,0.0,1212.727272727273,24,0.0
2020-01-12 08:00:00,135.145,100.0,0.0,1212.727272727273,24,-100.0
2020-01-12 09:00:00,132.9319999999999,100.0,0.0,1312.727272727273,24,-100.0
2020-01-12 10:00:00,189.88,0.0,0.0,1412.727272727273,24,0.0
2020-01-12 11:00:00,132.59727272727298,27.272727272727025,0.0,1412.727272727273,24,-27.272727272727025
2020-01-12 12:00:00,112.509,0.0,0.0,1440.0,24,0.0
2020-01-12 13:00:00,77.409,0.0,0.0,1440.0,24,0.0
2020-01-12 14:00:00,41.485,0.0,0.0,1440.0,24,0.0
2020-01-12 15:00:00,23.145,0.0,0.0,1440.0,24,0.0
2020-01-12 16:00:00,0.0,16.897,0.0,1440.0,24,-16.897
2020-01-12 17:00:00,10.309,0.0,0.0,1456.897,24,0.0
