time_stamp,speed,power_cf,power,npower,nspeed,preds,npreds
2020-03-22 19:00:00,5.299057720978846,0.1029594060932215,4.221,0.017282959845063443,0.22248547150650985,-31.44904,-0.12862593
2020-03-22 20:00:00,3.689694790770403,0.0252378223089868,59.494,0.24359924497090843,0.1538812590617641,-42.39049,-0.17337625
2020-03-22 21:00:00,5.008000856919048,0.0847116566942638,61.867,0.2533155358290784,0.2100782471566401,36.20504,0.14807788
2020-03-22 22:00:00,6.2875552406185955,0.1818374217624585,35.423,0.14504010580234125,0.2646233215622995,78.17065,0.31971633
2020-03-22 23:00:00,5.977024097768129,0.1541305665696715,39.392,0.16129124714919196,0.25138594415354815,100.4393,0.41079468
2020-03-23 00:00:00,5.6563139423327495,0.1283650582526831,56.969,0.23326058739953076,0.2377146539655565,74.04105,0.3028264
2020-03-23 01:00:00,4.879109393165596,0.0772953395232596,66.175,0.27095471872709626,0.20458383865767538,24.45758,0.100031
2020-03-23 02:00:00,5.327216600117106,0.1048392081264806,53.2,0.21782834962269018,0.2236858332709982,87.82568,0.35920525
2020-03-23 03:00:00,5.8382041854015965,0.1426276201051193,36.795,0.15065778429261062,0.24546830396140012,87.75582,0.3589195
2020-03-23 04:00:00,5.7183007438783555,0.1331233750860372,20.061,0.08214012258986443,0.24035703849062706,72.81895,0.29782802
2020-03-23 05:00:00,5.8709290445473075,0.1452907837664216,13.929,0.05703253913335435,0.24686330514287133,31.487944,0.12878504
2020-03-23 06:00:00,5.821817587362726,0.1413052580152269,16.779,0.06870191500599847,0.24476977311294837,55.65051,0.22760944
2020-03-23 07:00:00,4.962147574757988,0.0820279585813521,3.205,0.013122929709412067,0.20812360519762668,-1.143187,-0.004675612
2020-03-23 08:00:00,4.441140207615336,0.054889267803472,0.144,0.0005896105704072816,0.1859140094440432,30.73524,0.12570651
2020-03-23 09:00:00,3.351564158997866,0.0153079805260052,0.0,0.0,0.13946736567527063,49.408638,0.20208032
2020-03-23 10:00:00,2.659365433097702,0.0,0.0,0.0,0.10996019389054049,39.58802,0.1619142
2020-03-23 11:00:00,1.9994335445069045,0.0,0.0,0.0,0.08182849865006325,-11.453833,-0.046845943
2020-03-23 12:00:00,1.9248204397335704,0.0,0.4,0.001637807140020227,0.0786478778000671,53.425003,0.21850717
2020-03-23 13:00:00,2.183298533128972,0.0,3.058,0.012521035585454634,0.08966632845452217,-31.316853,-0.12808529
2020-03-23 14:00:00,3.198004613929498,0.0115025614057149,25.725,0.10533147169255085,0.13292140176927686,26.013826,0.10639602
2020-03-23 15:00:00,5.118250467353657,0.0913739643433837,77.529,0.3174438743965704,0.2147779873794541,2.8107903,0.0114960745
2020-03-23 16:00:00,7.32118256328872,0.2951274509023864,109.025,0.4464048086017631,0.30868497297859665,21.737984,0.08890791
2020-03-23 17:00:00,8.599777352176776,0.4874221247408679,115.592,0.47329350732304515,0.36318914160404153,11.696743,0.04783944
2020-03-23 18:00:00,9.462419179889398,0.6538771882933574,113.118,0.46316367016202004,0.39996199258828496,67.03618,0.2741766
