time_stamp,power,npower,speed,npreds_12hr,npreds_24hr,npreds_168hr,preds_12hr,preds_24hr,preds_168hr
2018-07-03 17:00:00,60,0.5825242718446602,5.449708074614926,0.032069653,-0.028219834,0.032982126,3.3480718,-2.9461508,3.443334
2018-07-03 18:00:00,52,0.5048543689320388,5.096014513313574,0.1675561,0.101038665,0.0909875,17.492857,10.548437,9.499096
2018-07-03 19:00:00,66,0.6407766990291263,5.215678507465441,0.10890253,0.029018894,0.059487842,11.369424,3.0295725,6.2105308
2018-07-03 20:00:00,51,0.4951456310679611,4.884425913499908,0.07975291,-0.00090732425,0.036717035,8.326203,-0.094724655,3.8332584
2018-07-03 21:00:00,33,0.3203883495145631,3.621235275873621,-0.0035888702,-0.08256971,-0.03153768,-0.37467805,-8.620278,-3.292534
2018-07-03 22:00:00,13,0.1262135922330097,4.94813603566212,-0.027246162,-0.11429158,-0.021767482,-2.8444993,-11.932041,-2.272525
2018-07-03 23:00:00,4,0.0388349514563106,4.106916369892967,0.11652708,0.03922628,0.040031567,12.165427,4.0952234,4.1792955
2018-07-04 00:00:00,1,0.0097087378640776,2.8590992175811207,-0.10984425,-0.18835403,-0.08718611,-11.46774,-19.664162,-9.10223
2018-07-04 01:00:00,0,0.0,2.4682105520404884,-0.15451387,-0.22351703,-0.111548826,-16.131248,-23.335178,-11.645698
2018-07-04 02:00:00,2,0.0194174757281553,1.062047209123874,0.21033776,0.16821402,0.065799624,21.959263,17.561544,6.8694806
2018-07-04 03:00:00,2,0.0194174757281553,0.6246460377056702,-0.118041806,-0.1656328,-0.08645211,-12.323565,-17.292065,-9.0256
2018-07-04 04:00:00,11,0.1067961165048543,1.7907131323328422,0.156822,0.12976804,0.06485233,16.372217,13.547784,6.770583
2018-07-04 05:00:00,11,0.1067961165048543,4.505780655280492,-0.012585297,-0.022025868,0.023210779,-1.313905,-2.2995007,2.4232054
2018-07-04 06:00:00,21,0.203883495145631,4.50084667433957,0.01832746,0.0149158165,0.050954826,1.9133868,1.5572113,5.319684
2018-07-04 07:00:00,32,0.3106796116504854,5.659722000032087,0.20842642,0.21138653,0.16671334,21.759718,22.068754,17.404873
2018-07-04 08:00:00,26,0.2524271844660194,5.639633973987416,0.058114797,0.056278586,0.079867244,6.067185,5.8754845,8.3381405
2018-07-04 09:00:00,17,0.1650485436893204,5.055205638220529,0.22467026,0.21513104,0.13486333,23.455576,22.45968,14.079732
2018-07-04 10:00:00,14,0.1359223300970873,4.736809976695798,0.28976926,0.28612146,0.15478966,30.251911,29.87108,16.16004
2018-07-04 11:00:00,20,0.1941747572815534,4.969562176411264,0.0625447,0.06929156,0.034896277,6.5296674,7.2340393,3.6431713
2018-07-04 12:00:00,24,0.233009708737864,5.823403581235401,0.07189676,0.06532627,0.053555712,7.506022,6.820063,5.5912166
2018-07-04 13:00:00,43,0.4174757281553398,6.865946348132515,0.26862967,0.2329076,0.18178186,28.044937,24.315554,18.978025
2018-07-04 14:00:00,42,0.4077669902912621,7.400793663071547,0.30963296,0.2515442,0.21927395,32.32568,26.261215,22.8922
2018-07-04 15:00:00,32,0.3106796116504854,6.313734798596862,0.3318206,0.28620192,0.2117018,34.64207,29.87948,22.101667
2018-07-04 16:00:00,29,0.2815533980582524,5.7866606494912745,0.12208265,0.08960155,0.08089452,12.745429,9.354402,8.445388
2018-07-04 17:00:00,34,0.3300970873786408,5.27954388786048,0.24160838,0.21731189,0.13302092,25.223915,22.68736,13.887384
2018-07-04 18:00:00,22,0.2135922330097087,5.020526368658178,0.19936386,0.17349675,0.109162256,20.813587,18.113062,11.39654
2018-07-04 19:00:00,10,0.0970873786407767,4.875200209717796,0.06313518,0.025609687,0.03771031,6.5913124,2.6736515,3.9369564
2018-07-04 20:00:00,12,0.116504854368932,4.23702597990053,0.1122254,0.058931053,0.046982884,11.7163315,6.152402,4.905013
2018-07-04 21:00:00,14,0.1359223300970873,4.193200788499261,0.027415216,-0.0387927,0.00454168,2.8621485,-4.0499578,0.47415143
2018-07-04 22:00:00,18,0.174757281553398,4.190087956642192,0.110194415,0.042574912,0.04730515,11.504297,4.444821,4.9386578
2018-07-04 23:00:00,30,0.2912621359223301,4.713651717094434,0.28522816,0.22340825,0.15372454,29.77782,23.323822,16.048841
2018-07-05 00:00:00,28,0.2718446601941747,4.57314241322725,0.1949479,0.12836982,0.10836371,20.35256,13.40181,11.313171
2018-07-05 01:00:00,18,0.174757281553398,3.8324896409662785,0.36456725,0.31743285,0.19007313,38.06082,33.13999,19.843636
2018-07-05 02:00:00,9,0.087378640776699,2.895530217931878,-0.04606636,-0.106886014,-0.037939653,-4.809328,-11.1589,-3.9608998
2018-07-05 03:00:00,5,0.0485436893203883,3.078230110602745,0.2043179,0.16060126,0.089113116,21.33079,16.766771,9.30341
2018-07-05 04:00:00,23,0.2233009708737864,3.701039987739805,0.103099465,0.062180504,0.052482665,10.763584,6.491645,5.4791903
2018-07-05 05:00:00,55,0.5339805825242718,6.199696124604296,0.07211092,0.037860096,0.07931871,7.5283804,3.952594,8.280873
2018-07-05 06:00:00,81,0.7864077669902912,7.636079677666709,0.5535481,0.48656806,0.39893734,57.79042,50.797707,41.64906
2018-07-05 07:00:00,92,0.8932038834951457,7.044101600580972,0.60819465,0.5348731,0.42624706,63.49552,55.840755,44.500195
2018-07-05 08:00:00,82,0.7961165048543689,7.678329084444693,0.73293394,0.71097016,0.52392066,76.5183,74.22529,54.69732
2018-07-05 09:00:00,85,0.8252427184466019,8.158409698150217,0.7488504,0.75500476,0.57267326,78.179985,78.8225,59.78709
2018-07-05 10:00:00,94,0.912621359223301,8.03726017711774,0.6661096,0.7004081,0.5349397,69.54185,73.122604,55.847706
2018-07-05 11:00:00,94,0.912621359223301,7.534067217031126,0.47524977,0.5718231,0.4104333,49.616077,59.698334,42.849236
2018-07-05 12:00:00,94,0.912621359223301,6.535699606590931,0.39157963,0.53542686,0.3320608,40.880913,55.898563,34.66715
