gmt,ERA5 wind speed (m/s),MERRA2 wind speed (m/s),HRRR wind speed (m/s),MERRA2 air density (kg/m^3),ERA5 density-corrected wind speed (m/s),MERRA2 density-corrected wind speed (m/s),HRRR density-corrected wind speed (m/s),ERA5 CF (raw),ERA5 CF (density adjusted),ERA5 CF (density and loss adjusted),MERRA2 CF (raw),MERRA2 CF (density adjusted),MERRA2 CF (density and loss adjusted),HRRR CF (raw),HRRR CF (density adjusted),HRRR CF (density and loss adjusted)
2018080617,1.8381040954247023,1.359937274611102,3.2624364520583016,1.0869324778964926,1.7662774664508278,1.3067957195194333,3.134951935171519,0.0,0.0,0.0,0.0,0.0,0.0,0.023731114855261692,0.019455986468492004,0.01809406741569756
2018080618,2.0594312855612387,1.7283213662310015,4.119107762412416,1.0780524496678707,1.9735519976072662,1.6562495232284293,3.947338961908225,0.0,0.0,0.0,0.0,0.0,0.0,0.06227753175534789,0.05309106013517262,0.04937468592571053
2018080619,2.905635548128488,2.0883936918099755,,1.0757386448247186,2.7824756177023233,1.9998738421848483,,0.01260155507299765,0.00931124710062492,0.008659459803581175,0.0,0.0,0.0,,,
2018080620,3.61037203948121,2.423532337912868,4.125702059239144,1.0734248399815665,3.4548601691076026,2.3191419751861755,3.9479930484168912,0.03724846052178865,0.030862799343304603,0.028702403389273278,0.0,0.0,0.0,0.06264578539200305,0.05312458087126082,0.04940586021027256
2018080621,4.029013065157491,2.814504604218873,3.1490784005109127,1.0711110351384143,3.852696609230333,2.691337101661484,3.0112693802780277,0.05736243557675769,0.04835600601310208,0.044971085592184934,0.010143993858235056,0.0,0.0,0.0199126486627077,0.015632267856867443,0.014538009106886721
2018080622,3.400706946887053,3.2565358637909108,4.1761469321294,1.0697446037585616,3.250502819933654,3.1126995574132317,3.991692783693055,0.028771068497838392,0.02331604229496298,0.02168391933431557,0.023525492316931462,0.018745081082633508,0.01743292540684916,0.06550169445496468,0.055389145930045736,0.05151190571494253
2018080623,3.90047511207359,3.538519518297368,3.969649638843382,1.0683781723787087,3.726608902102554,3.380787713869105,3.792699929439476,0.05071792382584861,0.042397088225858415,0.039429292050048324,0.03422749525989088,0.028018516081751654,0.026057219956029037,0.054240670755801856,0.045471369200848155,0.04228837335678878
2018080700,4.092794452492328,3.645046916452703,2.51151783721873,1.067011740998856,3.908687686620553,3.4810812428698683,2.398541866446965,0.060819694466350605,0.05112974316219154,0.047550661140838134,0.038750266434023795,0.03189987387135962,0.029666882700364442,0.0,0.0,0.0
2018080701,4.368520392994454,3.560077502232075,4.971223090265899,1.0675223975078076,4.172676055848153,3.400476320163155,4.748359098951862,0.07703712102886073,0.06530298113153798,0.06073177245233032,0.03512105917824382,0.02876230373913935,0.026748942477399593,0.12026903997420635,0.102972848535682,0.09576474913818425
2018080702,4.270502265079435,3.438653392170349,6.612459622962429,1.0680330540167593,4.0797024709795435,3.2850193888419854,6.317024600044436,0.07103044832675343,0.06010124923764071,0.055894161791005856,0.0302297385721797,0.02452514930046923,0.02280838884943638,0.3024143556386407,0.2618458322959354,0.2435166240352199
2018080703,4.146674364567816,3.1007829693889595,5.675187412164223,1.068543710525711,3.9620382725316414,2.962716557757437,5.422492280299413,0.06382475529909515,0.05384703295668691,0.05007774064971882,0.018368589158661797,0.014213591342979948,0.01321863994897135,0.18594207383864259,0.1603582220810289,0.14913314653535686
2018080704,4.205445118547032,2.6613637559659846,5.596720149214376,1.070636790658391,4.020814103284748,2.544522309128602,5.351008198597995,0.06719217467229277,0.056925796844875975,0.052940991065734654,0.0,0.0,0.0,0.17774803323886812,0.15353835172247288,0.14279066710189978
2018080705,4.046948354303704,2.179637916155768,5.913991120772939,1.072729870791071,3.871795617177927,2.085302749621751,5.658032397939387,0.05832374509344662,0.0492932325562474,0.04584270627731008,0.0,0.0,0.0,0.2123017862719505,0.18413117496273013,0.17124199271533902
2018080706,4.1647496314057095,1.7959113135300353,4.481772504348766,1.074822950923751,3.9870882278627797,1.719300675955483,4.2905874238631565,0.0648504098825684,0.05514820058135994,0.051287826540664744,0.0,0.0,0.0,0.08432018432410504,0.07223922223600776,0.06718247667948721
