time_stamp,power,npower,speed,preds,npreds
2018-07-02 22:00:00,86,0.8349514563106796,11.54664075563048,94.430145,0.9045033
2018-07-02 23:00:00,90,0.8737864077669902,10.275205845175664,95.63672,0.9160605
2018-07-03 00:00:00,63,0.6116504854368932,6.454833555161861,73.802605,0.70692146
2018-07-03 01:00:00,35,0.3398058252427184,5.008506993206282,48.3956,0.4635594
2018-07-03 02:00:00,16,0.1553398058252427,4.157308630165636,37.605644,0.36020732
2018-07-03 03:00:00,13,0.1262135922330097,5.418606459200454,53.42904,0.5117724
2018-07-03 04:00:00,11,0.1067961165048543,8.389239333457736,82.998474,0.79500455
2018-07-03 05:00:00,4,0.0388349514563106,6.100843456197779,67.027084,0.6420219
2018-07-03 06:00:00,0,0.0,2.0952097551969833,7.8534937,0.07522503
2018-07-03 07:00:00,0,0.0,2.225589409509902,21.477316,0.20572141
2018-07-03 08:00:00,0,0.0,1.7708570161573147,7.4487743,0.071348414
2018-07-03 09:00:00,0,0.0,2.8179976446392723,0.8146916,0.0078035593
2018-07-03 10:00:00,0,0.0,2.074127296474763,3.4946465,0.033473626
2018-07-03 11:00:00,2,0.0194174757281553,2.134810725093908,0.0,0.0
2018-07-03 12:00:00,22,0.2135922330097087,3.740056741801293,10.481141,0.10039407
2018-07-03 13:00:00,45,0.4368932038834951,4.827037861742733,22.150936,0.21217372
2018-07-03 14:00:00,32,0.3106796116504854,6.192485665241214,21.933748,0.21009336
2018-07-03 15:00:00,36,0.3495145631067961,4.785474141197336,4.701524,0.045033753
2018-07-03 16:00:00,43,0.4174757281553398,4.847463859547652,19.234514,0.18423864
2018-07-03 17:00:00,60,0.5825242718446602,5.449708074614926,9.840536,0.09425801
2018-07-03 18:00:00,52,0.5048543689320388,5.096014513313574,7.4331975,0.07119921
2018-07-03 19:00:00,66,0.6407766990291263,5.215678507465441,5.5519977,0.053180054
2018-07-03 20:00:00,51,0.4951456310679611,4.884425913499908,19.557878,0.187336
2018-07-03 21:00:00,33,0.3203883495145631,3.621235275873621,3.8242557,0.0366308
2018-07-03 22:00:00,13,0.1262135922330097,4.94813603566212,10.181499,0.097523935
2018-07-03 23:00:00,4,0.0388349514563106,4.106916369892967,0.0,0.0
2018-07-04 00:00:00,1,0.0097087378640776,2.8590992175811207,1.3084944,0.012533471
2018-07-04 01:00:00,0,0.0,2.4682105520404884,0.0,0.0
2018-07-04 02:00:00,2,0.0194174757281553,1.062047209123874,0.0,0.0
2018-07-04 03:00:00,2,0.0194174757281553,0.6246460377056702,0.0,0.0
2018-07-04 04:00:00,11,0.1067961165048543,1.7907131323328422,0.0,0.0
2018-07-04 05:00:00,11,0.1067961165048543,4.505780655280492,0.0,0.0
2018-07-04 06:00:00,21,0.203883495145631,4.50084667433957,13.767936,0.13187678
2018-07-04 07:00:00,32,0.3106796116504854,5.659722000032087,3.6692734,0.035146296
