window_index,horizon_start_hour,horizon_end_hour,executed_until_hour,initial_soc,soc_after_execution,planned_terminal_soc,objective,runtime_seconds,mip_gap,status
78,1872,1895,1895,1440.0,1440.0,1440.0,4255.6494044856045,0.0008769035339355469,0.0,2
79,1896,1919,1919,1440.0,1440.0,1440.0,4872.610536817823,0.001046895980834961,0.0,2
80,1920,1943,1943,1440.0,1440.0,1440.0,2086.5939200970083,0.0015530586242675781,0.0,2
81,1944,1967,1967,1440.0,1440.0,1440.0,1209.5400992155492,0.0011801719665527344,0.0,2
82,1968,1991,1991,1440.0,1440.0,1440.0,3191.056596595634,0.0011777877807617188,0.0,2
83,1992,2015,2015,1440.0,1440.0,1440.0,607.6817488074131,0.0007300376892089844,0.0,2
84,2016,2039,2039,1440.0,1440.0,1440.0,3031.265611128404,0.0010120868682861328,0.0,2
85,2040,2063,2063,1440.0,1440.0,1440.0,1808.3671988588978,0.0009908676147460938,0.0,2
86,2064,2087,2087,1440.0,1440.0,1440.0,3459.7303877023264,0.0010890960693359375,0.0,2
87,2088,2111,2111,1440.0,1440.0,1440.0,1814.6461355638614,0.0008769035339355469,0.0,2
88,2112,2135,2135,1440.0,1440.0,1440.0,2233.372551641441,0.0009989738464355469,0.0,2
89,2136,2159,2159,1440.0,1440.0,1440.0,931.2219738840505,0.0008540153503417969,0.0,2
90,2160,2183,2183,1440.0,1440.0,1440.0,3491.656708678516,0.0011708736419677734,0.0,2
91,2184,2207,2207,1440.0,1440.0,1440.0,3572.7743253778676,0.0007140636444091797,0.0,2
92,2208,2231,2231,1440.0,1440.0,1440.0,875.1435716160806,0.0008831024169921875,0.0,2
93,2232,2255,2255,1440.0,1440.0,1440.0,1410.5014353738866,0.0009639263153076172,0.0,2
94,2256,2279,2279,1440.0,1440.0,1440.0,756.5929661660807,0.0009200572967529297,0.0,2
95,2280,2303,2303,1440.0,1440.0,1440.0,2291.841016912036,0.0010378360748291016,0.0,2
96,2304,2327,2327,1440.0,1440.0,1440.0,2145.793851854616,0.0009398460388183594,0.0,2
97,2328,2351,2351,1440.0,1440.0,1440.0,4555.71811405376,0.001138925552368164,0.0,2
98,2352,2375,2375,1440.0,1440.0,1440.0,1352.8805870071567,0.0009000301361083984,0.0,2
99,2376,2399,2399,1440.0,1440.0,1440.0,769.7171455322489,0.0009729862213134766,0.0,2
100,2400,2423,2423,1440.0,1440.0,1440.0,59.576365942879974,0.00080108642578125,0.0,2
101,2424,2447,2447,1440.0,1440.0,1440.0,291.0880196025218,0.0009639263153076172,0.0,2
102,2448,2471,2471,1440.0,1440.0,1440.0,30.331717271133236,0.0007770061492919922,0.0,2
103,2472,2495,2495,1440.0,1440.0,1440.0,765.4360738752072,0.0008220672607421875,0.0,2
104,2496,2519,2519,1440.0,1440.0,1440.0,2169.1852983989183,0.0009179115295410156,0.0,2
105,2520,2543,2543,1440.0,1440.0,1440.0,34.969525727872075,0.0009100437164306641,0.0,2
106,2544,2567,2567,1440.0,1440.0,1440.0,1358.109506203221,0.0008399486541748047,0.0,2
107,2568,2591,2591,1440.0,1440.0,1440.0,1306.480536209552,0.0010030269622802734,0.0,2
108,2592,2615,2615,1440.0,1440.0,1440.0,540.6695528545555,0.00080108642578125,0.0,2
109,2616,2639,2639,1440.0,1440.0,1440.0,430.8277988349458,0.0008099079132080078,0.0,2
110,2640,2663,2663,1440.0,1440.0,1440.0,1482.206645048443,0.0008311271667480469,0.0,2
111,2664,2687,2687,1440.0,1440.0,1440.0,1681.1914945580659,0.0008840560913085938,0.0,2
112,2688,2711,2711,1440.0,1440.0,1440.0,3331.7989138277317,0.0009920597076416016,0.0,2
113,2712,2735,2735,1440.0,1440.0,1440.0,2389.2603042403907,0.0009050369262695312,0.0,2
114,2736,2759,2759,1440.0,1440.0,1440.0,2890.700675440602,0.0009310245513916016,0.0,2
115,2760,2783,2783,1440.0,1440.0,1440.0,1405.807982337622,0.0009031295776367188,0.0,2
116,2784,2807,2807,1440.0,1440.0,1440.0,2915.566047242106,0.0008349418640136719,0.0,2
117,2808,2831,2831,1440.0,1440.0,1440.0,695.0988721742123,0.0009479522705078125,0.0,2
118,2832,2855,2855,1440.0,1440.0,1440.0,317.6226777548156,0.000823974609375,0.0,2
119,2856,2879,2879,1440.0,1440.0,1440.0,679.054820602964,0.0008978843688964844,0.0,2
120,2880,2903,2903,1440.0,1440.0,1440.0,701.4027193074699,0.0006589889526367188,0.0,2
121,2904,2927,2927,1440.0,1440.0,1440.0,870.2876624918139,0.0010919570922851562,0.0,2
122,2928,2951,2951,1440.0,1440.0,1440.0,917.4122253876744,0.0007619857788085938,0.0,2
123,2952,2975,2975,1440.0,1440.0,1440.0,148.1893696300957,0.0008878707885742188,0.0,2
124,2976,2999,2999,1440.0,1440.0,1440.0,280.12344456015023,0.0011301040649414062,0.0,2
125,3000,3023,3023,1440.0,1440.0,1440.0,514.369963525853,0.0008349418640136719,0.0,2
126,3024,3047,3047,1440.0,1440.0,1440.0,244.91094516518484,0.0007579326629638672,0.0,2
127,3048,3071,3071,1440.0,1440.0,1440.0,761.6775417614144,0.0007908344268798828,0.0,2
128,3072,3095,3095,1440.0,1440.0,1440.0,1077.2662721409827,0.0009119510650634766,0.0,2
129,3096,3119,3119,1440.0,1440.0,1440.0,455.0214690234273,0.0009109973907470703,0.0,2
130,3120,3143,3143,1440.0,1440.0,1440.0,335.22997939794055,0.0010449886322021484,0.0,2
131,3144,3167,3167,1440.0,1440.0,1440.0,1297.2880188950874,0.0008289813995361328,0.0,2
132,3168,3191,3191,1440.0,1440.0,1440.0,1544.995071311747,0.0007460117340087891,0.0,2
133,3192,3215,3215,1440.0,1440.0,1440.0,2381.2818938972164,0.0009260177612304688,0.0,2
134,3216,3239,3239,1440.0,1440.0,1440.0,2080.9063535889168,0.0008440017700195312,0.0,2
135,3240,3263,3263,1440.0,1440.0,1440.0,9832.141072388873,0.0008409023284912109,0.0,2
136,3264,3287,3287,1440.0,1440.0,1440.0,234.452054773373,0.0009169578552246094,0.0,2
137,3288,3311,3311,1440.0,1440.0,1440.0,873.3277656923535,0.0010399818420410156,0.0,2
138,3312,3335,3335,1440.0,1440.0,1440.0,1356.1611972907765,0.0009450912475585938,0.0,2
139,3336,3359,3359,1440.0,1440.0,1440.0,379.95359101751444,0.0007269382476806641,0.0,2
140,3360,3383,3383,1440.0,1440.0,1440.0,3173.9944433857318,0.0009088516235351562,0.0,2
141,3384,3407,3407,1440.0,1440.0,1440.0,863.1758467600796,0.0007231235504150391,0.0,2
142,3408,3431,3431,1440.0,1440.0,1440.0,361.9624052075198,0.0006930828094482422,0.0,2
143,3432,3455,3455,1440.0,1440.0,1440.0,2844.0167390043175,0.0009908676147460938,0.0,2
144,3456,3479,3479,1440.0,1440.0,1440.0,1598.5576447236917,0.0008571147918701172,0.0,2
145,3480,3503,3503,1440.0,1440.0,1440.0,6944.391449341025,0.0009250640869140625,0.0,2
146,3504,3527,3527,1440.0,1440.0,1440.0,1679.6738403377165,0.0008640289306640625,0.0,2
147,3528,3551,3551,1440.0,1440.0,1440.0,1603.2196900908395,0.0007610321044921875,0.0,2
148,3552,3575,3575,1440.0,1440.0,1440.0,1984.8747312810324,0.0007648468017578125,0.0,2
149,3576,3599,3599,1440.0,1440.0,1440.0,3927.133170382771,0.0011777877807617188,0.0,2
150,3600,3623,3623,1440.0,1440.0,1440.0,6284.568547235246,0.0010349750518798828,0.0,2
151,3624,3647,3647,1440.0,1440.0,1440.0,4828.044565391223,0.0011479854583740234,0.0,2
152,3648,3671,3671,1440.0,1440.0,1440.0,3971.650745889683,0.0012450218200683594,0.0,2
153,3672,3695,3695,1440.0,1440.0,1440.0,2829.8180546582357,0.0009589195251464844,0.0,2
154,3696,3719,3719,1440.0,1440.0,1440.0,2393.6473775590466,0.0009920597076416016,0.0,2
155,3720,3743,3743,1440.0,1440.0,1440.0,11275.167919416437,0.0009779930114746094,0.0,2
156,3744,3767,3767,1440.0,1440.0,1440.0,4049.698939474039,0.001135110855102539,0.0,2
157,3768,3791,3791,1440.0,1440.0,1440.0,3562.7380767683103,0.0010540485382080078,0.0,2
158,3792,3815,3815,1440.0,1440.0,1440.0,1382.0471954055113,0.0012049674987792969,0.0,2
159,3816,3839,3839,1440.0,1440.0,1440.0,1917.689739312923,0.0008401870727539062,0.0,2
160,3840,3863,3863,1440.0,1440.0,1440.0,480.0144318622012,0.0007081031799316406,0.0,2
161,3864,3887,3887,1440.0,1440.0,1440.0,347.6665025724003,0.0006852149963378906,0.0,2
162,3888,3911,3911,1440.0,1440.0,1440.0,1092.8578702033976,0.0008499622344970703,0.0,2
163,3912,3935,3935,1440.0,1440.0,1440.0,3588.51178534637,0.0014700889587402344,0.0,2
164,3936,3959,3959,1440.0,1440.0,1440.0,3271.8527989585264,0.0014269351959228516,0.0,2
165,3960,3983,3983,1440.0,1440.0,1440.0,2404.509892220046,0.0014281272888183594,0.0,2
166,3984,4007,4007,1440.0,1440.0,1440.0,2831.4291081629035,0.0014750957489013672,0.0,2
167,4008,4031,4031,1440.0,1440.0,1440.0,3795.1976918176733,0.0016291141510009766,0.0,2
168,4032,4055,4055,1440.0,1440.0,1440.0,2988.39790288497,0.0011909008026123047,0.0,2
169,4056,4079,4079,1440.0,1440.0,1440.0,2289.5088923560597,0.0013959407806396484,0.0,2
170,4080,4103,4103,1440.0,1440.0,1440.0,2910.704662448325,0.0014429092407226562,0.0,2
171,4104,4127,4127,1440.0,1440.0,1440.0,1456.8376002532473,0.0014209747314453125,0.0,2
172,4128,4151,4151,1440.0,1440.0,1440.0,457.1480576458116,0.0010099411010742188,0.0,2
173,4152,4175,4175,1440.0,1440.0,1440.0,1691.307449852555,0.0016391277313232422,0.0,2
174,4176,4199,4199,1440.0,1440.0,1440.0,2397.2629950199344,0.006099224090576172,0.0,2
175,4200,4223,4223,1440.0,1440.0,1440.0,2672.569283137557,0.003560781478881836,0.0,2
176,4224,4247,4247,1440.0,1440.0,1440.0,1295.8108277484155,0.01110696792602539,0.0,2
177,4248,4271,4271,1440.0,1440.0,1440.0,1736.1403827810987,0.0012860298156738281,0.0,2
178,4272,4295,4295,1440.0,1440.0,1440.0,2685.0860643692367,0.0034608840942382812,0.0,2
179,4296,4319,4319,1440.0,1440.0,1440.0,2998.804003866347,0.0012359619140625,0.0,2
180,4320,4343,4343,1440.0,1440.0,1440.0,1506.9179294901928,0.0008249282836914062,0.0,2
181,4344,4367,4367,1440.0,1440.0,1440.0,1900.0751524607194,0.0009868144989013672,0.0,2
182,4368,4391,4391,1440.0,1440.0,1440.0,2392.098011988926,0.0010769367218017578,0.0,2
183,4392,4415,4415,1440.0,1440.0,1440.0,3143.690942741446,0.00096893310546875,0.0,2
184,4416,4439,4439,1440.0,1440.0,1440.0,977.7641647341276,0.0012378692626953125,0.0,2
185,4440,4463,4463,1440.0,1440.0,1440.0,1495.1072842772899,0.0010290145874023438,0.0,2
